adx.4.1.zero_travel_precision	1.0 0.025
1.0.tamilforce_saravanan_meenakshi2011	3.0 2.688
1.0.travel_adventure_guide	11.0 2.508
1.0.travel_agencies	13.0 2.386
1.0.travel_forum	2.0 1.198
1.0.travel_quotes	1.0 0.462
1.1.moorhead_travel_mart	1.0 0.483
1.1.requires_free_engraving	1.0 0.033
2.0.airport_best_travel_workout	1.0 0.088
2.0.anti_gravity	463.0 101.171
2.0.bardha_travel	8.0 1.436
2.0.brave_warrior	5.0 0.216
2.0.chile_travel_tips	2.0 1.364
2.0.france_travel_information	94.0 12.089
2.0.group_educational_travel_specialists	12.0 1.956
2.0.gungrave	15.0 2.235
2.0.intravenous_drips	208.0 13.12
2.0.kako_napraviti_prstenje	12.0 3.312
2.0.lingo_eurotalk_traveler	1.0 0.134
2.0.modes_of_travel	4.0 0.164
2.0.montagem_bonde_das_maravilhas_elas	11.0 0.616
2.0.ravens_selected	4.0 0.412
2.0.ravet_pune	2.0 0.696
2.0.read_tokyo_ravens_chapter	6.0 1.589
2.0.sage_turkey_gravy	2.0 0.556
2.0.short_rib_ravioli	12.0 3.192
2.0.st_george_gravesend	2.0 0.096
2.0.travel_tour_consultants_jobs_vacancies	2.0 1.158
2.0.true_travel	3.0 2.5
2.0.vendita_meravigliose_cucciole	1.0 0.437
2.1.android_travel	1.0 0.035
2.1.aravalli	8.0 0.44
2.1.british_travel	1.0 0.044
2.1.castle_ravenloft	22.0 9.064
2.1.cheap_paris_travel	19.0 7.296
2.1.congressional_travel_spikes	1.0 0.207
2.1.european_travel	83.0 6.279
2.1.gravitational_wave_detector	3.0 0.186
2.1.gravity	2224.0 348.931
2.1.great_travel_item	3.0 0.348
2.1.new_ravens	22.0 10.744
2.1.pan_gravy_recipe	294.0 17.248
2.1.seo_extravaganza	3.0 0.153
2.1.travel.com_michigan	2.0 0.516
2.1.travel_cribs_product	6.0 0.186
2.1.travel_humor	6.0 2.25
2.1.travel_pictures	3.0 0.565
2.1.travel_secrets	2.0 0.768
2.1.travellers_tales	1.0 0.031
4.0.actions_consommateurs_travailleurs	1.0 0.35
4.0.aldi_travel	3.0 3.0
4.0.caravane	74.0 17.523
4.0.cerave_hydrating_cleanser	2.0 0.112
4.0.cityslips_travel_rain_boots_stylebakery.com	1.0 0.725
4.0.disseminated_intravascular_coagulation	16.0 5.052
4.0.fjallraven_greenland_winter_jacket	7.0 5.152
4.0.guests_traveled	2.0 0.246
4.0.kickboard_micro_luggage_travel_scooter	8.0 3.2
4.0.la_caravane	121.0 7.108
4.0.malta_murdered_artist_caravaggio	5.0 1.555
4.0.moroccan_caravan	7.0 1.05
4.0.mrio_cravo	1.0 0.484
4.0.polo_ravales	6.0 1.752
4.0.pro_travel_network	8.0 0.472
4.0.ravi_kapoor	3.0 0.144
4.0.ravishankar_guruji	5.0 0.46
4.0.sound_travels	3.0 0.245
4.0.transit_travel_pants	1.0 0.691
4.0.travel_report	1.0 0.225
4.0.travel_visa_canada	2.0 0.41
4.0.uravugal_thodar_kadhai	137.0 36.292
4.0.westlife_gravity_tour	1.0 0.059
4.0.yahoo_timetraveler	1.0 0.8
4.0.zoe_kravits	1.0 0.024
4.1.arya_chakravarti	1.0 0.042
4.1.best_travel_apps	207.0 110.519
4.1.brava_soccer	1.0 0.046
4.1.dealfind_travel	1.0 0.09
4.1.expedia_lets_travelers	3.0 1.278
4.1.gravesend_grammar_school_for_girls	3.0 0.108
4.1.hotelului_dumbrava	1.0 0.374
4.1.kala_bhairava	6.0 0.738
4.1.lenny_kravitz	656.0 213.404
4.1.luxembourg_travel_map	2.0 1.268
4.1.maravillosas_canciones	1.0 0.179
4.1.olton_ravens_elite	3.0 1.773
4.1.quantum_theory_of_gravity	13.0 0.354
4.1.raven_davis	5.0 0.18
4.1.ravnoj_romaniji	1.0 0.216
4.1.recall_certain_rav4	1.0 0.213
4.1.spanish_potatoes_bravos	14.0 9.87
4.1.supravalvular_aortic_stenosis	2.0 0.262
4.1.travel_bed	1.0 0.136
4.1.travel_spots	2.0 0.6
4.1.travel_system	18.0 1.795
4.1.travelers_book	3.0 0.591
4.1.travesties	1.0 0.12
4.1.trofeo_parravicini	1.0 0.361
4.1.vote_travel_bus	1.0 0.155
4.1.zoe_kravitz	30.0 10.234
